nombre,tipo,telefono,direccion,municipio,departamento
DEPTO ADMTVO DE TTO Y TTE PUTUMAYO,Organismos de Tránsito,5555555,CARRERA 2 NO. 7-25 BARRIO EL PROGRESO,VILLAGARZON,PUTUMAYO
DIR DPTAL TTOyTTE CASANARE/AGUAZUL,Organismos de Tránsito,6384900,CARRERA 21 # 14-23 PISO 2 BARRIO CRISTAL,AGUAZUL,CASANARE
DIR DPTAL TTOYTTE SAN ANDRES ISLAS,Organismos de Tránsito,6085130801,AVENIDA FRANCISCO NEWBALL EDIFICIO CORAL PALACE. SAN ANDRES ISLAS,SAN ANDRES,ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA
DIR MCPAL TTOyTTE MANZANARES,Organismos de Tránsito,8550022,CALLE 6 CON CARRERA 4 ESQUINA,MANZANARES,CALDAS
DIR TTEyTTO  MCPAL BARBOSA,Organismos de Tránsito,4548300,CARRERA 15 # 15-29 ANTIGUA SEDE DE BANCOLOMBIA,BARBOSA,ANTIOQUIA
DIR TTEyTTO DPTAL CHOCO/ISTMINA,Organismos de Tránsito,6711239,CALLE 30 DIAGONAL CEMENTERIO S.J,ISTMINA,CHOCÓ
DIR TTO MCPAL DONMATIAS,Organismos de Tránsito,8663243,CARRERA 30 NO. 29-59,DON MATIAS,ANTIOQUIA
DIR TTOyTTE BUCARAMANGA,Organismos de Tránsito,6378415,KM. 4 VIA A GIRON - BUCARAMANGA,BUCARAMANGA,SANTANDER
DIR TTOyTTE DPTAL CAQUETA/BELEN DE LOS ANDAQUIES,Organismos de Tránsito,84316079,ALCALDIA MUNICIPAL,BELEN DE LOS ANDAQUIES,CAQUETÁ
DIR TTOYTTE DPTAL CAQUETA/EL PAUJIL,Organismos de Tránsito,4352427,CALLE 15 CARRERA 13 ESQUINA,EL PAUJIL,CAQUETÁ
DIR TTOyTTE DPTAL CAQUETA/SAN VIC CAGUAN,Organismos de Tránsito,33,CALLE 2 # 4-46-48,SAN VICENTE DEL CAGUAN,CAQUETÁ
DIR TTOyTTE FLORIDABLANCA,Organismos de Tránsito,6497871,CALLE 9 NO. 8-14,FLORIDABLANCA,SANTANDER
DIR TTOyTTE LA CUMBRE,Organismos de Tránsito,0,CALLE 3A N. 4-71,LA CUMBRE,VALLE DEL CAUCA
DPTO ADTVO TTEyTTO VILLA DEL ROSARIO,Organismos de Tránsito,5708998,CARRERA 7 NO. 10-40. AUTOPISTA INTERNACIONAL BARRIO LOMITAS,VILLA DEL ROSARIO,NORTE DE SANTANDER
DPTO ADTVO TTOyTTE DIST CARTAGENA,Organismos de Tránsito,6564412,AV. SANTANDER EDIFICIO MAR DEL NORTE NO. 46A-96 LOCALES DEL 1-5,CARTAGENA,BOLÍVAR
DPTO ADTVO TTOyTTE GUAJIRA/HATONUEVO,Organismos de Tránsito,5-7272626,EDIFICIO DE LA MARINA CALLE 1 NO 6-05-RIOACHA,HATONUEVO,LA GUAJIRA
DPTO ADTVO TTOyTTE MCPAL CUCUTA,Organismos de Tránsito,5767126,AVENIDA GRAN COLOMBIA # 6E-91 BARRIO LA RIVIERA,CUCUTA,NORTE DE SANTANDER
DPTO ADTVO TTOYTTE MCPAL PASTO,Organismos de Tránsito,7333309,CALLE 18 NO. 19-54.  CENTRO ANTIGUA  CAJA AGRARIA,PASTO,NARIÑO
DPTO ADTVO TTOyTTE TOLIMA/ ALVARADO,Organismos de Tránsito,2820189,CALLE 3RA ESQUINA. ALCALDIA MUNICIPAL,ALVARADO,TOLIMA
DPTO ADTVO TTOyTTE TOLIMA/GUAMO,Organismos de Tránsito,2270280,CARRERA 7ª NO. 10 - 11. PARQUE DE LA CULTURA,GUAMO,TOLIMA
DPTO ADTVO TTOyTTE TOLIMA/GUAYABAL,Organismos de Tránsito,2530041,ALCALDIA MUNICIPAL PISO 2,ARMERO,TOLIMA
DPTO ADTVO TTOyTTE TOLIMA/ORTEGA,Organismos de Tránsito,3133410651,MZ M CASA 7 PISO 1 B/TECHITOS,ORTEGA,TOLIMA
DPTO ADTVO TTOyTTE TOLIMA/PURIFICACIÓN,Organismos de Tránsito,2282810,CARRERA 6 NO 8 A - 110,PURIFICACION,TOLIMA
DPTO TTOyTTE MCPAL SAN JUAN DE NEPOMUCENO,Organismos de Tránsito,,,SAN JUAN NEPOMUCENO,BOLÍVAR
F. DPTAL TTO VICHADA/PUERTO CARREÑO,Organismos de Tránsito,5654132,CALLE 18 NO. 7-48,PUERTO CARREÑO,VICHADA
F. MCPAL TTOyTTE TERRESTRE MAGANGUE,Organismos de Tránsito,314574512,CALLE 16 BARRIO SAN MARTIN ANTIGUO IDEMA,MAGANGUE,BOLÍVAR
INPS TTOYTTE LA DORADA,Organismos de Tránsito,8577255,CALLE 16 CON CARRERA 5 CENTRO COMERCIAL DORADO PLAZA  SEGUNDO PISO LOCAL 201-2,LA DORADA,CALDAS
INS DE TTOyTTE QUIMBAYA,Organismos de Tránsito,7520605,CARRERA 6 ENTRE CALLE  12  ESQUINA PALACIO MUNICIPAL,QUIMBAYA,QUINDÍO
INS MCPAL DE TyTO DE COROZAL,Organismos de Tránsito,2840039,CALLE 29 A NO-37-29. BARRIO SAN JUAN,COROZAL,SUCRE
INS MCPAL TTOyTTE SAN VICENTE CHUCURI,Organismos de Tránsito,6254306,CALLE 15 NO 21 - 34. CENTRO DE ABASTOS,SAN VICENTE DE CHUCURI,SANTANDER
INSP DE TT0 y TTE CONVENCION,Organismos de Tránsito,5630018,ALCALDIA MUNICIPAL,CONVENCION,NORTE DE SANTANDER
INSP MCPAL TTO CIUDAD BOLIVAR,Organismos de Tránsito,4-8411183 EXT 31 o 44,CRA 49 NO 51-14,CIUDAD BOLIVAR,ANTIOQUIA
INSP MCPAL TTO TURBO,Organismos de Tránsito,8275505,CALLE 102 NO. 15-37 BARRIO BALTAZAR,TURBO,ANTIOQUIA
INSP MCPAL TTOyREG VIAL LETICIA,Organismos de Tránsito,5924369,CALLE  9 NO 10-68,LETICIA,AMAZONAS
INSP MCPAL TTOyTTE BARBOSA/STDER,Organismos de Tránsito,7482040,CARRERA 9 CON CALLE 6 ESQUINA,BARBOSA,SANTANDER
INSP MCPAL TTOyTTE CARMEN DE VIBORAL,Organismos de Tránsito,5434377,CALLE 41 # 28A- 50,EL CARMEN DE VIBORAL,ANTIOQUIA
INSP MCPAL TTOyTTE SAN GIL,Organismos de Tránsito,7243400,CALLE 12  NO. 9-51 FRENTE AL PARQUE PRINCIPAL,SAN GIL,SANTANDER
INSP TTEyTTO AGUADAS,Organismos de Tránsito,8514239,CALLE 6 NO 5 - 23 PISO 1. PALACIO MUNICIPAL PLAZA PRINCIPAL,AGUADAS,CALDAS
INSP TTEyTTO GUADALAJARA DE BUGA,Organismos de Tránsito,2375568,TERMINAL DE TRANSPORTE-SEGUNDO PISO OFICINA 207 Y  209,GUADALAJARA DE BUGA,VALLE DEL CAUCA
